batch	lr	drop	epoch	pm	rm	fm	pw	rw	fw	time
1024	0.0001	0.0	5	0.622742	0.62248	0.607329	0.637509	0.607333	0.607128	518.9004259109497
1024	0.0001	0.1	25	0.630583	0.644393	0.596224	0.697182	0.599667	0.609074	540.7462332248688
1024	0.0001	0.2	45	0.623016	0.635534	0.58934	0.687508	0.592667	0.601907	541.3381145000458
1024	0.0001	0.4	7	0.61954	0.641815	0.575342	0.716948	0.582667	0.598915	540.5607612133026
1024	0.001	0.0	5	0.623317	0.628308	0.599152	0.660041	0.6	0.603798	518.2130482196808
1024	0.001	0.1	7	0.62604	0.622818	0.620081	0.626179	0.622333	0.619905	537.9907464981079
1024	0.001	0.2	14	0.613862	0.612052	0.602634	0.620605	0.603	0.601437	538.3576776981354
1024	0.001	0.4	5	0.624973	0.632511	0.597436	0.671182	0.599	0.604579	538.3734152317047
1024	0.01	0.0	0	0.5	0.29	0.367089	1.0	0.58	0.734177	515.6052997112274
1024	0.01	0.1	0	0.5	0.29	0.367089	1.0	0.58	0.734177	539.0243988037109
1024	0.01	0.2	0	0.5	0.29	0.367089	1.0	0.58	0.734177	533.7299025058746
1024	0.01	0.4	0	0.5	0.29	0.367089	1.0	0.58	0.734177	535.4436242580414
1024	0.1	0.0	0	0.5	0.29	0.367089	1.0	0.58	0.734177	515.5053329467773
1024	0.1	0.1	0	0.5	0.29	0.367089	1.0	0.58	0.734177	539.0721244812012
1024	0.1	0.2	0	0.5	0.29	0.367089	1.0	0.58	0.734177	535.2787537574768
1024	0.1	0.4	0	0.5	0.29	0.367089	1.0	0.58	0.734177	534.0208070278168
1024	1e-05	0.0	40	0.614258	0.62525	0.581523	0.675908	0.584667	0.593613	519.067259311676
1024	1e-05	0.1	36	0.608511	0.623578	0.570132	0.687309	0.575333	0.5881	542.34810090065
1024	1e-05	0.2	31	0.602819	0.610889	0.57291	0.656186	0.575333	0.582905	538.4674835205078
1024	1e-05	0.4	10	0.543692	0.543217	0.543253	0.550281	0.552333	0.55111	541.5156245231628
1024	1e-06	0.0	14	0.516968	0.518508	0.513883	0.569436	0.542667	0.552524	518.9580459594727
1024	1e-06	0.1	53	0.532129	0.532505	0.532175	0.549574	0.546667	0.547984	544.9514238834381
1024	1e-06	0.2	4	0.484182	0.484346	0.474496	0.491556	0.474667	0.473323	543.054301738739
1024	1e-06	0.4	34	0.540093	0.539362	0.538987	0.543293	0.546	0.543915	538.6721289157867
128	0.0001	0.0	27	0.628982	0.637749	0.600151	0.678899	0.602	0.608199	727.8132929801941
128	0.0001	0.1	1	0.643336	0.648978	0.618895	0.68032	0.619667	0.623182	740.3017992973328
128	0.0001	0.2	29	0.625766	0.639953	0.590533	0.69505	0.594333	0.604444	747.5565013885498
128	0.0001	0.4	50	0.605213	0.608107	0.583862	0.634881	0.584333	0.587047	756.9090535640717
128	0.001	0.0	37	0.618322	0.619867	0.599542	0.641098	0.599667	0.600924	704.983188867569
128	0.001	0.1	5	0.619663	0.621629	0.600146	0.644229	0.600333	0.601907	744.00182056427
128	0.001	0.2	55	0.618473	0.618793	0.601994	0.635769	0.602	0.602261	743.2760391235352
128	0.001	0.4	15	0.607375	0.607446	0.591666	0.623281	0.591667	0.591732	745.1784136295319
128	0.01	0.0	0	0.5	0.29	0.367089	1.0	0.58	0.734177	709.9299507141113
128	0.01	0.1	0	0.5	0.29	0.367089	1.0	0.58	0.734177	739.5163857936859
128	0.01	0.2	0	0.5	0.29	0.367089	1.0	0.58	0.734177	738.0153515338898
128	0.01	0.4	0	0.5	0.21	0.295775	1.0	0.42	0.591549	748.0164384841919
128	0.1	0.0	0	0.5	0.29	0.367089	1.0	0.58	0.734177	705.0711500644684
128	0.1	0.1	0	0.5	0.29	0.367089	1.0	0.58	0.734177	737.7242343425751
128	0.1	0.2	0	0.5	0.29	0.367089	1.0	0.58	0.734177	742.333577632904
128	0.1	0.4	0	0.5	0.21	0.295775	1.0	0.42	0.591549	737.1938292980194
128	1e-05	0.0	49	0.627025	0.645268	0.587799	0.708827	0.593	0.60561	731.65802526474
128	1e-05	0.1	4	0.590764	0.596239	0.563973	0.635415	0.565667	0.571709	749.25545835495
128	1e-05	0.2	6	0.58425	0.59988	0.540447	0.678981	0.548333	0.565852	761.8925607204437
128	1e-05	0.4	9	0.582074	0.588355	0.552885	0.633551	0.555333	0.563076	749.927577495575
128	1e-06	0.0	58	0.602449	0.612474	0.569693	0.66417	0.573	0.582343	721.707799911499
128	1e-06	0.1	55	0.578612	0.584362	0.550022	0.628433	0.552333	0.559804	747.6524398326874
128	1e-06	0.2	21	0.560071	0.567249	0.557415	0.621411	0.587333	0.598841	755.2329385280609
128	1e-06	0.4	33	0.555515	0.557538	0.555468	0.583272	0.573667	0.577474	754.3033525943756
256	0.0001	0.0	22	0.640367	0.642552	0.620505	0.665156	0.620667	0.622084	582.2468814849854
256	0.0001	0.1	30	0.621128	0.629028	0.592893	0.669419	0.594667	0.600739	614.8329074382782
256	0.0001	0.2	55	0.627942	0.631845	0.60547	0.659941	0.606	0.608845	613.7172601222992
256	0.0001	0.4	53	0.60613	0.617172	0.572433	0.670659	0.576	0.585815	614.5714581012726
256	0.001	0.0	1	0.653722	0.651219	0.641648	0.660853	0.642	0.640555	582.4949796199799
256	0.001	0.1	6	0.623481	0.620924	0.613896	0.627374	0.614667	0.612678	611.1979923248291
256	0.001	0.2	5	0.624152	0.627404	0.602585	0.653852	0.603	0.605471	610.9433286190033
256	0.001	0.4	35	0.616927	0.617324	0.600323	0.634557	0.600333	0.600663	607.9081740379333
256	0.01	0.0	0	0.5	0.21	0.295775	1.0	0.42	0.591549	573.4363322257996
256	0.01	0.1	0	0.5	0.29	0.367089	1.0	0.58	0.734177	604.5835988521576
256	0.01	0.2	0	0.5	0.29	0.367089	1.0	0.58	0.734177	604.7267475128174
256	0.01	0.4	0	0.5	0.29	0.367089	1.0	0.58	0.734177	607.5961468219757
256	0.1	0.0	0	0.5	0.29	0.367089	1.0	0.58	0.734177	578.9104974269867
256	0.1	0.1	0	0.5	0.29	0.367089	1.0	0.58	0.734177	604.8885614871979
256	0.1	0.2	0	0.5	0.29	0.367089	1.0	0.58	0.734177	599.6971089839935
256	0.1	0.4	0	0.5	0.29	0.367089	1.0	0.58	0.734177	607.4106049537659
256	1e-05	0.0	45	0.623591	0.636028	0.590062	0.687635	0.593333	0.602464	579.0784449577332
256	1e-05	0.1	16	0.594034	0.61886	0.541698	0.715797	0.553333	0.576652	611.9904127120972
256	1e-05	0.2	7	0.578585	0.589338	0.540879	0.65478	0.546333	0.559795	615.5254774093628
256	1e-05	0.4	3	0.554776	0.557307	0.554499	0.586801	0.574333	0.579127	616.921715259552
256	1e-06	0.0	59	0.576984	0.57801	0.559191	0.598606	0.559333	0.560746	590.0028302669525
256	1e-06	0.1	30	0.551149	0.554257	0.550374	0.589522	0.572667	0.578941	619.1992914676666
256	1e-06	0.2	48	0.559921	0.560803	0.560134	0.577876	0.574333	0.575888	619.5002825260162
256	1e-06	0.4	59	0.566174	0.583507	0.557758	0.675044	0.602667	0.625027	622.5513820648193
32	0.0001	0.0	50	0.621182	0.630574	0.591053	0.675024	0.593333	0.600499	1498.51557803154
32	0.0001	0.1	27	0.636754	0.63333	0.629621	0.637567	0.631333	0.629016	1566.3134198188782
32	0.0001	0.2	25	0.623413	0.621655	0.611397	0.631292	0.611667	0.610299	1552.3360271453857
32	0.0001	0.4	42	0.617105	0.614244	0.609801	0.618355	0.611333	0.608953	1557.9636726379395
32	0.001	0.0	28	0.630583	0.627302	0.625902	0.630365	0.629	0.626651	1488.789485692978
32	0.001	0.1	4	0.6341	0.631987	0.622327	0.641245	0.622667	0.621194	1550.5354402065277
32	0.001	0.2	21	0.619061	0.617505	0.60678	0.627554	0.607	0.605731	1560.9614412784576
32	0.001	0.4	23	0.620375	0.618593	0.618994	0.623837	0.625667	0.624272	1552.2495636940002
32	0.01	0.0	0	0.5	0.21	0.295775	1.0	0.42	0.591549	1472.9543960094452
32	0.01	0.1	0	0.5	0.29	0.367089	1.0	0.58	0.734177	1583.4777579307556
32	0.01	0.2	0	0.5	0.29	0.367089	1.0	0.58	0.734177	1554.6275193691254
32	0.01	0.4	0	0.5	0.29	0.367089	1.0	0.58	0.734177	1552.6753582954407
32	0.1	0.0	0	0.5	0.29	0.367089	1.0	0.58	0.734177	1490.8353433609009
32	0.1	0.1	0	0.5	0.29	0.367089	1.0	0.58	0.734177	1535.2466781139374
32	0.1	0.2	0	0.5	0.21	0.295775	1.0	0.42	0.591549	1566.7582664489746
32	0.1	0.4	0	0.5	0.29	0.367089	1.0	0.58	0.734177	1562.7167732715607
32	1e-05	0.0	43	0.64272	0.650897	0.615282	0.688314	0.616667	0.621745	1489.5799531936646
32	1e-05	0.1	0	0.547085	0.546181	0.545756	0.549731	0.552333	0.550165	1554.4915854930878
32	1e-05	0.2	3	0.595183	0.608018	0.557505	0.671598	0.562667	0.575474	1560.7850487232208
32	1e-05	0.4	3	0.578407	0.592142	0.535887	0.669015	0.543333	0.560186	1556.639163017273
32	1e-06	0.0	43	0.612685	0.627954	0.574675	0.690415	0.579667	0.592031	1519.6237969398499
32	1e-06	0.1	36	0.602135	0.619708	0.559751	0.693169	0.566667	0.582411	1552.107486963272
32	1e-06	0.2	37	0.589053	0.595439	0.560472	0.638748	0.562667	0.569831	1564.4000346660614
32	1e-06	0.4	17	0.560016	0.564727	0.558905	0.60529	0.583333	0.591153	1563.6934933662415
512	0.0001	0.0	15	0.635112	0.63737	0.615147	0.66033	0.615333	0.616874	543.1281321048737
512	0.0001	0.1	37	0.612438	0.616781	0.588859	0.64783	0.589667	0.593391	574.2875261306763
512	0.0001	0.2	24	0.626793	0.63927	0.593519	0.690057	0.596667	0.605538	569.7241005897522
512	0.0001	0.4	26	0.614204	0.639431	0.566256	0.723364	0.575333	0.594451	571.2932634353638
512	0.001	0.0	2	0.629242	0.635836	0.603133	0.671275	0.604333	0.609026	541.4484572410583
512	0.001	0.1	7	0.623837	0.627615	0.601464	0.655682	0.602	0.604874	563.8726241588593
512	0.001	0.2	2	0.641242	0.644103	0.62041	0.668505	0.620667	0.622502	564.8261308670044
512	0.001	0.4	5	0.632745	0.630166	0.622386	0.637577	0.623	0.621177	564.1756808757782
512	0.01	0.0	0	0.5	0.21	0.295775	1.0	0.42	0.591549	532.4037096500397
512	0.01	0.1	0	0.5	0.29	0.367089	1.0	0.58	0.734177	556.0350112915039
512	0.01	0.2	0	0.5	0.29	0.367089	1.0	0.58	0.734177	558.5662808418274
512	0.01	0.4	0	0.5	0.29	0.367089	1.0	0.58	0.734177	558.9775652885437
512	0.1	0.0	0	0.5	0.29	0.367089	1.0	0.58	0.734177	537.3375473022461
512	0.1	0.1	0	0.5	0.29	0.367089	1.0	0.58	0.734177	555.5894486904144
512	0.1	0.2	0	0.5	0.29	0.367089	1.0	0.58	0.734177	554.4268486499786
512	0.1	0.4	0	0.5	0.29	0.367089	1.0	0.58	0.734177	558.7388141155243
512	1e-05	0.0	22	0.614409	0.622997	0.584787	0.666828	0.587	0.594062	549.4173846244812
512	1e-05	0.1	14	0.609442	0.608814	0.595298	0.621904	0.595333	0.594764	571.2471234798431
512	1e-05	0.2	16	0.593487	0.600459	0.564366	0.644668	0.566667	0.574032	573.635169506073
512	1e-05	0.4	10	0.558484	0.56121	0.558272	0.590523	0.578	0.582792	574.2720782756805
512	1e-06	0.0	58	0.555829	0.557167	0.555971	0.578064	0.572	0.574531	550.3851397037506
512	1e-06	0.1	50	0.550944	0.553712	0.550363	0.586604	0.571667	0.577311	571.8264245986938
512	1e-06	0.2	59	0.550479	0.558895	0.545246	0.629618	0.581667	0.597496	575.6328113079071
512	1e-06	0.4	1	0.519855	0.519595	0.510059	0.52656	0.510333	0.508753	570.032479763031
64	0.0001	0.0	21	0.632334	0.644993	0.599347	0.694712	0.602333	0.610854	971.660388469696
64	0.0001	0.1	20	0.617967	0.621525	0.5958	0.649425	0.596333	0.599217	997.9170258045197
